CHR	START	END	INDEX	SOX2
chr1	1193865	1194865	1	1
chr1	5920685	5921685	2	0
chr1	6116134	6117134	3	0
chr1	7205903	7206903	4	1
chr1	7212515	7213515	5	0
chr1	8020773	8021773	6	1
chr1	8503204	8504204	7	0
chr1	8546728	8547728	8	0
chr1	8723422	8724422	9	0
chr1	8815309	8816309	10	1
chr1	9926150	9927150	11	0
chr1	10307434	10308434	12	0
chr1	10329809	10330809	13	0
chr1	10354498	10355498	14	1
chr1	11024324	11025324	15	0
chr1	12097681	12098681	16	0
chr1	12248283	12249283	17	0
chr1	12349577	12350577	18	1
chr1	12350439	12351439	19	1
chr1	12380768	12381768	20	0
chr1	12689836	12690836	21	0
chr1	13747405	13748405	22	1
chr1	15920038	15921038	23	1
chr1	16267417	16268417	24	0
chr1	16350432	16351432	25	0
chr1	16618192	16619192	26	0
chr1	16650179	16651179	27	1
chr1	17813922	17814922	28	1
chr1	17897465	17898465	29	1
chr1	17899696	17900696	30	1
chr1	18593258	18594258	31	0
chr1	19023375	19024375	32	0
chr1	19135000	19136000	33	1
chr1	19176307	19177307	34	0
chr1	19246878	19247878	35	1
chr1	19250282	19251282	36	0
chr1	20805831	20806831	37	0
chr1	20869937	20870937	38	1
chr1	20895114	20896114	39	1
chr1	20945790	20946790	40	1
chr1	20996108	20997108	41	1
chr1	21005470	21006470	42	0
chr1	21066008	21067008	43	0
chr1	21117162	21118162	44	0
chr1	21456422	21457422	45	0
chr1	21457243	21458243	46	0
chr1	21750754	21751754	47	0
chr1	22054125	22055125	48	1
chr1	22271647	22272647	49	0
chr1	22483572	22484572	50	0
chr1	23308432	23309432	51	0
chr1	23965620	23966620	52	0
chr1	23966400	23967400	53	1
chr1	24398774	24399774	54	1
chr1	24433725	24434725	55	1
chr1	24434038	24435038	56	1
chr1	24434650	24435650	57	1
chr1	24883963	24884963	58	0
chr1	25850621	25851621	59	0
chr1	26237175	26238175	60	0
chr1	26603237	26604237	61	1
chr1	26759780	26760780	62	0
chr1	27786217	27787217	63	1
chr1	27831170	27832170	64	0
chr1	28026986	28027986	65	0
chr1	28037420	28038420	66	1
chr1	28045566	28046566	67	0
chr1	28621081	28622081	68	0
chr1	29001395	29002395	69	1
chr1	29068285	29069285	70	0
chr1	29164057	29165057	71	0
chr1	29169935	29170935	72	1
chr1	29537034	29538034	73	0
chr1	29578736	29579736	74	0
chr1	29817152	29818152	75	1
chr1	30216310	30217310	76	1
chr1	30291414	30292414	77	1
chr1	30545436	30546436	78	1
chr1	30956424	30957424	79	1
chr1	30996255	30997255	80	0
chr1	31012568	31013568	81	0
chr1	31026329	31027329	82	0
chr1	31027555	31028555	83	1
chr1	31334272	31335272	84	1
chr1	31351699	31352699	85	1
chr1	31475004	31476004	86	1
chr1	32139244	32140244	87	1
chr1	32841869	32842869	88	0
chr1	33201353	33202353	89	1
chr1	33402079	33403079	90	0
chr1	33457897	33458897	91	0
chr1	35018374	35019374	92	0
chr1	35026163	35027163	93	1
chr1	35026789	35027789	94	1
chr1	35182250	35183250	95	0
chr1	35305904	35306904	96	1
chr1	35340890	35341890	97	0
chr1	35425768	35426768	98	1
chr1	35747649	35748649	99	1
chr1	35831744	35832744	100	0
chr1	35975148	35976148	101	0
chr1	36004949	36005949	102	0
chr1	36067652	36068652	103	1
chr1	37549467	37550467	104	1
chr1	38016200	38017200	105	1
chr1	38599995	38600995	106	0
chr1	38845463	38846463	107	0
chr1	38856359	38857359	108	1
chr1	38863979	38864979	109	1
chr1	39205742	39206742	110	0
chr1	39321117	39322117	111	1
chr1	39746627	39747627	112	0
chr1	39877890	39878890	113	0
chr1	40155469	40156469	114	0
chr1	40189971	40190971	115	0
chr1	41111845	41112845	116	1
chr1	41193156	41194156	117	1
chr1	41213523	41214523	118	1
chr1	41214081	41215081	119	0
chr1	41909076	41910076	120	1
chr1	42047270	42048270	121	1
chr1	42451183	42452183	122	0
chr1	42540384	42541384	123	1
chr1	43295492	43296492	124	0
chr1	43642421	43643421	125	0
chr1	43757488	43758488	126	0
chr1	44039312	44040312	127	0
chr1	44209958	44210958	128	1
chr1	44711294	44712294	129	0
chr1	44939468	44940468	130	0
chr1	44941599	44942599	131	1
chr1	44976124	44977124	132	0
chr1	45026142	45027142	133	0
chr1	45058803	45059803	134	0
chr1	45244277	45245277	135	1
chr1	45413901	45414901	136	0
chr1	45485660	45486660	137	0
chr1	45600993	45601993	138	1
chr1	45833214	45834214	139	0
chr1	45902369	45903369	140	0
chr1	45985430	45986430	141	0
chr1	46083733	46084733	142	1
chr1	46107504	46108504	143	1
chr1	46129937	46130937	144	0
chr1	46708294	46709294	145	1
chr1	47043621	47044621	146	1
chr1	47745566	47746566	147	1
chr1	48254954	48255954	148	1
chr1	48362349	48363349	149	0
chr1	48430832	48431832	150	1
chr1	48465518	48466518	151	1
chr1	48840461	48841461	152	1
chr1	48966423	48967423	153	1
chr1	50547980	50548980	154	1
chr1	50567322	50568322	155	1
chr1	50615829	50616829	156	0
chr1	50698627	50699627	157	1
chr1	50702133	50703133	158	1
chr1	50748426	50749426	159	1
chr1	50767657	50768657	160	0
chr1	50938760	50939760	161	0
chr1	50980093	50981093	162	1
chr1	51018467	51019467	163	1
chr1	51092667	51093667	164	0
chr1	51093526	51094526	165	0
chr1	51495820	51496820	166	1
chr1	51514431	51515431	167	1
chr1	51658770	51659770	168	0
chr1	51663798	51664798	169	1
chr1	52125660	52126660	170	0
chr1	52126232	52127232	171	0
chr1	52144732	52145732	172	1
chr1	52194333	52195333	173	1
chr1	52242531	52243531	174	0
chr1	52453920	52454920	175	0
chr1	53231886	53232886	176	0
chr1	53337808	53338808	177	1
chr1	53387453	53388453	178	1
chr1	53564695	53565695	179	0
chr1	54045147	54046147	180	1
chr1	54046495	54047495	181	0
chr1	54690659	54691659	182	1
chr1	54882040	54883040	183	0
chr1	55091982	55092982	184	0
chr1	55152015	55153015	185	0
chr1	55187659	55188659	186	0
chr1	55531176	55532176	187	0
chr1	55820672	55821672	188	0
chr1	55979451	55980451	189	0
chr1	56298140	56299140	190	0
chr1	56422062	56423062	191	1
chr1	56665154	56666154	192	0
chr1	57112234	57113234	193	0
chr1	57159759	57160759	194	1
chr1	58002737	58003737	195	0
chr1	58023980	58024980	196	0
chr1	58542637	58543637	197	1
chr1	59258233	59259233	198	0
chr1	59270614	59271614	199	0
chr1	59398664	59399664	200	1
chr1	59528508	59529508	201	1
chr1	59539397	59540397	202	0
chr1	59787472	59788472	203	0
chr1	60310368	60311368	204	1
chr1	61111161	61112161	205	0
chr1	61152736	61153736	206	0
chr1	61153057	61154057	207	1
chr1	61220228	61221228	208	0
chr1	61423287	61424287	209	1
chr1	61536218	61537218	210	0
chr1	61536814	61537814	211	0
chr1	61652078	61653078	212	0
chr1	61680896	61681896	213	0
chr1	61978488	61979488	214	0
chr1	62386036	62387036	215	0
chr1	62450007	62451007	216	0
chr1	62625457	62626457	217	0
chr1	62679039	62680039	218	1
chr1	62729170	62730170	219	0
chr1	62790476	62791476	220	1
chr1	62840338	62841338	221	0
chr1	63047353	63048353	222	1
chr1	63223173	63224173	223	1
chr1	63450235	63451235	224	0
chr1	63762783	63763783	225	1
chr1	64523646	64524646	226	0
chr1	64581105	64582105	227	0
chr1	64615261	64616261	228	1
chr1	64683257	64684257	229	0
chr1	64964449	64965449	230	0
chr1	65244544	65245544	231	0
chr1	65294493	65295493	232	1
chr1	65508966	65509966	233	0
chr1	65589257	65590257	234	1
chr1	65668183	65669183	235	0
chr1	65677278	65678278	236	1
chr1	65787982	65788982	237	1
chr1	65846660	65847660	238	0
chr1	65906264	65907264	239	1
chr1	66007887	66008887	240	1
chr1	66039681	66040681	241	1
chr1	66155765	66156765	242	1
chr1	66181015	66182015	243	0
chr1	66193766	66194766	244	1
chr1	66705132	66706132	245	1
chr1	66727225	66728225	246	1
chr1	66746281	66747281	247	1
chr1	66747477	66748477	248	1
chr1	66926949	66927949	249	0
chr1	66927985	66928985	250	1
chr1	66949366	66950366	251	1
chr1	67085073	67086073	252	1
chr1	67413666	67414666	253	0
chr1	68072196	68073196	254	1
chr1	68072819	68073819	255	1
chr1	68074033	68075033	256	0
chr1	68215271	68216271	257	0
chr1	69489967	69490967	258	1
chr1	69977102	69978102	259	0
chr1	70141402	70142402	260	1
chr1	70143684	70144684	261	1
chr1	70190785	70191785	262	0
chr1	70209505	70210505	263	0
chr1	70250348	70251348	264	0
chr1	70251500	70252500	265	0
chr1	70252257	70253257	266	0
chr1	70511393	70512393	267	0
chr1	71050478	71051478	268	0
chr1	71264408	71265408	269	1
chr1	71311057	71312057	270	1
chr1	71452530	71453530	271	0
chr1	71529272	71530272	272	0
chr1	71718943	71719943	273	1
chr1	71827649	71828649	274	1
chr1	71883753	71884753	275	1
chr1	71934239	71935239	276	1
chr1	72023333	72024333	277	0
chr1	72137857	72138857	278	0
chr1	72249513	72250513	279	0
chr1	72642440	72643440	280	0
chr1	74198816	74199816	281	0
chr1	74239150	74240150	282	0
chr1	74386651	74387651	283	0
chr1	74712433	74713433	284	0
chr1	74775312	74776312	285	0
chr1	74779422	74780422	286	0
chr1	75200438	75201438	287	1
chr1	75914946	75915946	288	1
chr1	75951397	75952397	289	0
chr1	76102178	76103178	290	0
chr1	76293651	76294651	291	0
chr1	76410346	76411346	292	0
chr1	76660696	76661696	293	0
chr1	76743007	76744007	294	1
chr1	76756170	76757170	295	0
chr1	76935920	76936920	296	0
chr1	77121709	77122709	297	0
chr1	77141762	77142762	298	1
chr1	77149104	77150104	299	1
chr1	77212196	77213196	300	1
chr1	77387540	77388540	301	0
chr1	77418933	77419933	302	0
chr1	77739340	77740340	303	0
chr1	77943652	77944652	304	1
chr1	78428092	78429092	305	1
chr1	78496533	78497533	306	0
chr1	78496966	78497966	307	0
chr1	78696437	78697437	308	0
chr1	78742747	78743747	309	0
chr1	78744188	78745188	310	0
chr1	78814856	78815856	311	0
chr1	79131917	79132917	312	1
chr1	79145665	79146665	313	0
chr1	79151151	79152151	314	1
chr1	79233615	79234615	315	0
chr1	79258545	79259545	316	1
chr1	79362957	79363957	317	0
chr1	79363241	79364241	318	0
chr1	79366738	79367738	319	1
chr1	79531536	79532536	320	1
chr1	79538461	79539461	321	0
chr1	79553232	79554232	322	1
chr1	79743080	79744080	323	0
chr1	79886112	79887112	324	1
chr1	79927046	79928046	325	0
chr1	80094855	80095855	326	1
chr1	80219109	80220109	327	0
chr1	80422838	80423838	328	0
chr1	81202109	81203109	329	1
chr1	81205316	81206316	330	0
chr1	81217370	81218370	331	0
chr1	81291088	81292088	332	1
chr1	81542269	81543269	333	0
chr1	81580295	81581295	334	0
chr1	81597246	81598246	335	0
chr1	81723873	81724873	336	0
chr1	81743573	81744573	337	1
chr1	81848659	81849659	338	0
chr1	81850038	81851038	339	1
chr1	81927544	81928544	340	1
chr1	81934260	81935260	341	1
chr1	81982420	81983420	342	0
chr1	83065003	83066003	343	0
chr1	83601029	83602029	344	0
chr1	83783380	83784380	345	0
chr1	83972886	83973886	346	1
chr1	84059617	84060617	347	1
chr1	84123218	84124218	348	1
chr1	84178151	84179151	349	1
chr1	84202375	84203375	350	1
chr1	84674141	84675141	351	0
chr1	85088643	85089643	352	1
chr1	85106289	85107289	353	0
chr1	85178090	85179090	354	1
chr1	85256851	85257851	355	1
chr1	85393089	85394089	356	0
chr1	85413904	85414904	357	1
chr1	85471155	85472155	358	1
chr1	85888614	85889614	359	0
chr1	85966720	85967720	360	1
chr1	86301740	86302740	361	0
chr1	86388785	86389785	362	0
chr1	86455734	86456734	363	0
chr1	86546807	86547807	364	0
chr1	86667662	86668662	365	0
chr1	86696034	86697034	366	0
chr1	87322374	87323374	367	0
chr1	87343651	87344651	368	0
chr1	87744034	87745034	369	0
chr1	88042770	88043770	370	1
chr1	88064015	88065015	371	0
chr1	88255451	88256451	372	1
chr1	88272077	88273077	373	0
chr1	88730369	88731369	374	0
chr1	88739515	88740515	375	0
chr1	88780212	88781212	376	1
chr1	88785379	88786379	377	0
chr1	88811729	88812729	378	0
chr1	88813175	88814175	379	0
chr1	88970428	88971428	380	0
chr1	89000033	89001033	381	1
chr1	89095491	89096491	382	1
chr1	89135290	89136290	383	1
chr1	89251144	89252144	384	1
chr1	89720710	89721710	385	0
chr1	89863446	89864446	386	0
chr1	90909682	90910682	387	1
chr1	90949919	90950919	388	0
chr1	91031966	91032966	389	1
chr1	91259647	91260647	390	0
chr1	91268110	91269110	391	1
chr1	91270356	91271356	392	1
chr1	91632842	91633842	393	1
chr1	91982060	91983060	394	1
chr1	91982488	91983488	395	1
chr1	92204744	92205744	396	0
chr1	92288489	92289489	397	1
chr1	92346335	92347335	398	1
chr1	92707833	92708833	399	0
chr1	92909840	92910840	400	0
chr1	92984565	92985565	401	0
chr1	92984938	92985938	402	0
chr1	93091762	93092762	403	0
chr1	93114632	93115632	404	1
chr1	93115042	93116042	405	1
chr1	93164907	93165907	406	0
chr1	93182579	93183579	407	0
chr1	93231414	93232414	408	1
chr1	93235295	93236295	409	0
chr1	93348893	93349893	410	1
chr1	94471419	94472419	411	0
chr1	94478634	94479634	412	0
chr1	94694337	94695337	413	0
chr1	94694908	94695908	414	1
chr1	94798904	94799904	415	0
chr1	94859757	94860757	416	1
chr1	94934711	94935711	417	0
chr1	95009171	95010171	418	1
chr1	95044923	95045923	419	1
chr1	95223137	95224137	420	0
chr1	95311514	95312514	421	1
chr1	95320620	95321620	422	1
chr1	95607581	95608581	423	0
chr1	95809307	95810307	424	0
chr1	96081575	96082575	425	0
chr1	96951870	96952870	426	0
chr1	97039657	97040657	427	1
chr1	97041195	97042195	428	0
chr1	97114542	97115542	429	0
chr1	97191734	97192734	430	0
chr1	97206825	97207825	431	0
chr1	97339089	97340089	432	0
chr1	97453446	97454446	433	0
chr1	97461541	97462541	434	0
chr1	97481614	97482614	435	0
chr1	97514390	97515390	436	1
chr1	97514638	97515638	437	1
chr1	97514949	97515949	438	1
chr1	97608719	97609719	439	0
chr1	97665261	97666261	440	0
chr1	97847045	97848045	441	1
chr1	97917222	97918222	442	1
chr1	97918614	97919614	443	1
chr1	97948555	97949555	444	1
chr1	97991847	97992847	445	1
chr1	97997603	97998603	446	1
chr1	98002133	98003133	447	0
chr1	98038374	98039374	448	0
chr1	98450177	98451177	449	1
chr1	98674713	98675713	450	0
chr1	98734627	98735627	451	0
chr1	99073266	99074266	452	0
chr1	99635362	99636362	453	0
chr1	99999711	100000711	454	0
chr1	100031449	100032449	455	0
chr1	100273495	100274495	456	1
chr1	100400757	100401757	457	0
chr1	100462107	100463107	458	0
chr1	100503838	100504838	459	1
chr1	100512677	100513677	460	0
chr1	100747488	100748488	461	0
chr1	100751921	100752921	462	1
chr1	100867512	100868512	463	1
chr1	100905459	100906459	464	0
chr1	100953544	100954544	465	0
chr1	101013406	101014406	466	1
chr1	101073962	101074962	467	1
chr1	101090848	101091848	468	1
chr1	101117960	101118960	469	0
chr1	101121496	101122496	470	1
chr1	101260065	101261065	471	0
chr1	101518052	101519052	472	1
chr1	101613266	101614266	473	1
chr1	102597162	102598162	474	0
chr1	102607397	102608397	475	1
chr1	102667380	102668380	476	1
chr1	102857961	102858961	477	0
chr1	102861999	102862999	478	1
chr1	102864065	102865065	479	0
chr1	102864390	102865390	480	0
chr1	102972892	102973892	481	0
chr1	103079348	103080348	482	0
chr1	103148996	103149996	483	0
chr1	103149263	103150263	484	0
chr1	103299855	103300855	485	0
chr1	103403849	103404849	486	1
chr1	103427420	103428420	487	0
chr1	103461403	103462403	488	0
chr1	105491349	105492349	489	1
chr1	106866818	106867818	490	1
chr1	107180851	107181851	491	0
chr1	107199589	107200589	492	0
chr1	107262211	107263211	493	0
chr1	107782617	107783617	494	0
chr1	107828752	107829752	495	0
chr1	108140359	108141359	496	0
chr1	108181354	108182354	497	0
chr1	108628528	108629528	498	1
chr1	108672956	108673956	499	0
chr1	108694333	108695333	500	1
chr1	108697367	108698367	501	1
chr1	108760134	108761134	502	1
chr1	108779007	108780007	503	1
chr1	109220091	109221091	504	1
chr1	109450572	109451572	505	0
chr1	109754409	109755409	506	0
chr1	109979598	109980598	507	0
chr1	110009396	110010396	508	1
chr1	110344086	110345086	509	1
chr1	110351172	110352172	510	0
chr1	110418049	110419049	511	0
chr1	110577824	110578824	512	1
